Universidad,Código,Acrónimo,Tipo,CIF,Con ánimo de lucro,Modalidad,Administración Educativa Responsable,Domicilio,Código postal,Localidad,Municipio,Provincia,Comunidad Autónoma,URL,EMail,Teléfono 1,Tipo Boletín,Año publicación,Tipo disposición,Fecha disposición,Fecha publicación,Fecha entrada en Vigor
Universidad Loyola Andalucía,81,ULA,Privada,G14894158,No,Presencial,Comunidad Autónoma de Andalucía,"Avenida de las Universidades, s/n",41704.0,Dos Hermanas,Dos Hermanas,Sevilla,Comunidad Autónoma de Andalucía,www.uloyola.es,sgeneral@uloyola.es,957222110,Boletín Oficial de la Junta de Andalucía,2011,Ley Autonómica,2011-12-16,2011-12-27,2011-12-28
Universidad Miguel Hernández de Elche,55,UMH,Pública,Q5350015C,No,Presencial,Comunidad Valenciana,"Avenida de la Universidad, s/n",3202.0,Elche/Elx,Elx/Elche,Alicante/Alacant,Comunidad Valenciana,www.umh.es,info@umh.es,966658500,Diari Oficial de la Generalitat Valenciana,1996,Ley Estatal,1996-12-30,1996-12-30,1996-12-31
Universidad Nacional de Educación a Distancia,28,UNED,Pública,Q2818016D,No,No Presencial,Estado,"Calle Bravo Murillo, 38",28015.0,Madrid,Madrid,Madrid,Comunidad de Madrid,www.uned.es,infouned@adm.uned.es,91398600,Boletín Oficial del Estado,1972,Decreto,1972-09-09,1972-09-09,1972-09-10
Universidad Pablo de Olavide,58,UPO,Pública,Q9150016E,No,Presencial,Comunidad Autónoma de Andalucía,"Carretera de Utrera, km. 1",41013.0,Sevilla,Sevilla,Sevilla,Comunidad Autónoma de Andalucía,www.upo.es,,954349200,Boletín Oficial de la Junta de Andalucía,1997,Ley Estatal,1997-07-03,1997-07-03,1997-07-04
Universidad Politécnica de Cartagena,64,UPCT,Pública,Q8050013E,No,Presencial,Región de Murcia,"Pza. del Cronista Isidoro Valverde, Edif. La Milagrosa",30202.0,Cartagena,Cartagena,Murcia,Región de Murcia,www.upct.es,gestion.academica@upct.es,968325400,Boletín Oficial de la Región de Murcia,1998,Ley Autonómica,1998-08-08,1998-08-08,1998-08-08
Universidad Politécnica de Catalunya,24,UPC,Pública,Q0818003F,No,Presencial,Comunidad Autónoma de Cataluña,"Calle Jordi Girona, 31",8034.0,Barcelona,Barcelona,Barcelona,Comunidad Autónoma de Cataluña,www.upc.es,info@upc.edu,934016200,Boletín Oficial del Estado,1971,Decreto,1971-03-26,1971-03-26,1971-03-27
Universidad Politécnica de Madrid,25,UPM,Pública,Q2818015F,No,Presencial,Comunidad de Madrid,"Calle Ramiro de Maeztu, 7",28040.0,Madrid,Madrid,Madrid,Comunidad de Madrid,www.upm.es,gabinete.rector@upm.es,913366200,Boletín Oficial del Estado,1971,Decreto,1971-03-26,1971-03-26,1971-03-27
Universidad Pompeu Fabra,39,UPF,Pública,Q5850017D,No,Presencial,Comunidad Autónoma de Cataluña,"Plaça de la Mercè, 10-12",8002.0,Barcelona,Barcelona,Barcelona,Comunidad Autónoma de Cataluña,www.upf.edu,,935422000,Diari Oficial de la Generalitat de Catalunya,1990,Ley Estatal,1990-06-22,1990-06-22,1990-06-23
Universidad Pontificia Comillas,33,COMILLAS,Privada (concordataria),R2800395B,No,Presencial,Estado,"Calle Alberto Aguilera, 23",28015.0,Madrid,Madrid,Madrid,Comunidad de Madrid,www.upcomillas.es,info_secre@secretaria.upcomillas.es,915422800,No publicado o Publicación desconocida,1890,Decreto,1890-12-16,1890-12-16,1890-12-17
Universidad Pontificia de Salamanca,32,UPSA,Privada (concordataria),R3700047H,No,Presencial,Estado,"C/ Compañía, 5",37002.0,Salamanca,Salamanca,Salamanca,Comunidad de Castilla y León,www.upsa.es,webmaster@upsa.es,923277102,No publicado o Publicación desconocida,1940,Decreto,1940-09-15,1940-09-15,1940-09-16
Universidad Pública de Navarra,35,UPNA,Pública,Q3150012G,No,Presencial,Comunidad Foral de Navarra,Campus de Arrosadía,31006.0,Pamplona/Iruña,Pamplona/Iruña,Navarra,Comunidad Foral de Navarra,www.unavarra.es,infoweb@unavarra.es,948169000,No publicado o Publicación desconocida,1987,Ley Estatal,1987-04-21,1987-04-21,1987-04-22
Universidad Ramón Llull,41,URLL,Privada,G59069740,No,Presencial,Comunidad Autónoma de Cataluña,"Calle Claravall, 1-3",8022.0,Barcelona,Barcelona,Barcelona,Comunidad Autónoma de Cataluña,www.url.edu,info@url.edu,936022200,Diari Oficial de la Generalitat de Catalunya,1991,Ley Estatal,1991-05-22,1991-05-22,1991-05-23
Universidad Rey Juan Carlos,56,URJC,Pública,Q2803011B,No,Presencial,Comunidad de Madrid,"Calle Tulipán, s/n",28933.0,Móstoles,Móstoles,Madrid,Comunidad de Madrid,www.urjc.es,info@urjc.es,916655060,Boletín Oficial de la Comunidad de Madrid,1996,Ley Estatal,1996-07-17,1996-07-17,1996-07-18
Universidad Rovira i Virgili,42,URV,Pública,Q9350003A,No,Presencial,Comunidad Autónoma de Cataluña,"Calle del Escorxador, s/n",43003.0,Tarragona,Tarragona,Tarragona,Comunidad Autónoma de Cataluña,www.urv.cat/ca,info@urv.cat,977558000,Boletín Oficial del Estado,1992,Ley Estatal,1992-02-20,1992-02-20,1992-02-21
Universidad San Jorge,73,USJ,Privada,G99047672,No,Presencial,Comunidad Autónoma de Aragón,"Autovía A-23 Zaragoza-Huesca, km. 510",50830.0,Villanueva de Gállego,Villanueva de Gállego,Zaragoza,Comunidad Autónoma de Aragón,www.usj.es,info@usj.es,976060100,Boletín Oficial del Estado,2005,Ley Estatal,2005-03-24,2005-03-24,2005-03-25
Universidad San Pablo-CEU,46,UCEU,Privada,G28423275,No,Presencial,Comunidad de Madrid,"Calle Julián Romea, 23",28003.0,Madrid,Madrid,Madrid,Comunidad de Madrid,www.uspceu.com,informa@ceu.es,914566300,Boletín Oficial del Estado,1993,Ley Estatal,1993-04-20,1993-04-20,1993-04-21
Universidad Tecnológica Atlántico-Mediterráneo,103,UTAMED,Privada,,,No Presencial,Comunidad Autónoma de Andalucía,"Calle de Marie Curie, 1",29590.0,Campanillas,Málaga,Málaga,Comunidad Autónoma de Andalucía,utamed.es/,info@utamed.es,951 562 168,Boletín Oficial de la Junta de Andalucía,2023,Ley Autonómica,2023-10-03,2023-10-09,2023-10-10
Universidad Tecnológica de las Islas Canarias,104,,Privada,,,No Presencial,Comunidad Autónoma de Canarias,,,San Cristóbal de la Laguna,San Cristóbal de La Laguna,Santa Cruz de Tenerife,Comunidad Autónoma de Canarias,,,,Boletín Oficial de Canarias,2024,Ley Autonómica,2024-04-16,2024-04-29,2024-04-30
Universitat Abat Oliba CEU,70,UAO,Privada,G63095848,No,Presencial,Comunidad Autónoma de Cataluña,"Calle Bellesguard, 30",8022.0,Barcelona,Barcelona,Barcelona,Comunidad Autónoma de Cataluña,www.uao.es,info@uao.es,932540900,Diari Oficial de la Generalitat de Catalunya,2003,Ley Estatal,2003-07-14,2003-07-14,2003-07-15
Universitat de Girona,43,UDG,Pública,Q6750002E,No,Presencial,Comunidad Autónoma de Cataluña,"Plaza Sant Domènec, 3. Edificio Les Àligues",17004.0,Girona,Girona,Girona,Comunidad Autónoma de Cataluña,,informacio@udg.edu,972418046,Boletín Oficial del Estado,1992,Ley Estatal,1992-03-03,1992-03-03,1992-03-04
Universitat de les Illes Balears,3,UIB,Pública,Q0718001A,No,Presencial,Comunidad Autónoma de las Illes Balears,"Carretera de Valldemossa, km 7.5",7122.0,Palma,Palma,Illes Balears,Comunidad Autónoma de las Illes Balears,www.uib.es/,informacio@uib.es,971173000,Boletín Oficial del Estado,1978,Ley Estatal,1978-03-18,1978-03-18,1978-03-19
Universitat de València (Estudi General),18,UV,Pública,Q4618001D,No,Presencial,Comunidad Valenciana,"Avenida Blasco Ibáñez, 13",46010.0,Valencia,València,Valencia/València,Comunidad Valenciana,www.uv.es,servei.estudiants@uv.es,963864100,No publicado o Publicación desconocida,1502,No consta,1502-01-01,1502-01-01,1502-01-02
Universitat Internacional de Catalunya,62,UIC,Privada,G61737409,No,Presencial,Comunidad Autónoma de Cataluña,"Calle Inmaculada, 22",8017.0,Barcelona,Barcelona,Barcelona,Comunidad Autónoma de Cataluña,www.uic.es,,932541800,Diari Oficial de la Generalitat de Catalunya,1997,Ley Estatal,1997-10-02,1997-10-02,1997-10-03
Universitat Internacional Valenciana,76,VIU,Privada,B98585797,No,No Presencial,Comunidad Valenciana,"Calle Pintor Sorolla, 21",46002.0,Valencia,València,Valencia/València,Comunidad Valenciana,www.viu.es,estudios@campusviu.es,961924950,Diari Oficial de la Generalitat Valenciana,2008,Ley Autonómica,2008-06-13,2008-06-19,2008-06-20
Universitat Oberta de Catalunya,54,UOC,Privada,G60667813,No,No Presencial,Comunidad Autónoma de Cataluña,"Avenida Tibidabo, 39-43",8035.0,Barcelona,Barcelona,Barcelona,Comunidad Autónoma de Cataluña,www.uoc.es,,902372373,Boletín Oficial del Estado,1995,Ley Estatal,1995-06-22,1995-06-22,1995-06-23
Universitat Politècnica de València,27,UPV,Pública,Q4618002B,No,Presencial,Comunidad Valenciana,"Camino de Vera, s/n.  Edificio 3A",46022.0,Valencia,València,Valencia/València,Comunidad Valenciana,www.upv.es,informacion@upv.es,963877000,Boletín Oficial del Estado,1971,Decreto,1971-03-26,1971-03-26,1971-03-27
